state,region,year,total_all_classes_of_crime_in_state,violent_crime_in_state,property_crime_in_state,murder_and_nonnegligent_manslaughter_in_state,rape_in_state,robbery_in_state,aggravated_assault_in_state,burglary_in_state,larceny_theft_in_state,motor_vehicle_theft_in_state,arson_in_state,other_assaults_in_state,forgery_and_counterfeiting_in_state,fraud_in_state,embezzlement_in_state,stolen_property_buying_receiving_possessing_in_state,vandalism_in_state,weapons_carrying_possessing_etc_in_state,prostitution_and_commercialized_vice_in_state,sex_offenses_except_rape_and_prostitution_in_state,drug_abuse_violations_in_state,gambling_in_state,offenses_against_the_family_and_children_in_state,driving_under_the_influence_in_state,liquor_laws_in_state,drunkenness_in_state,disorderly_conduct_in_state,vagrancy_in_state,all_other_offenses_except_traffic_in_state,suspicion_in_state,curfew_and_loitering_law_violations_in_state
Illinois,Midwest,2017,64552,3823,11653,272,259,1464,1828,882,7599,3113,59,13083,108,224,1,71,2076,4290,141,235,10915,457,277,2357,131,0,2988,18,11653,0,51
Indiana,Midwest,2017,147199,8345,17546,182,208,1386,6569,2016,13829,1629,72,11260,1234,1885,266,343,1200,2283,305,673,26364,14,1059,13263,3792,3820,3453,347,49499,38,210
Iowa,Midwest,2017,94485,4709,12280,53,192,341,4123,1594,10029,565,92,7296,664,743,79,212,1995,900,46,125,9645,7,1059,10082,3733,5793,3574,17,31274,0,252
Kansas,Midwest,2017,61144,2198,4958,62,112,204,1820,608,3887,412,51,8456,263,580,111,584,1697,742,127,167,9594,0,228,5443,2353,138,1613,0,21892,0,0
Michigan,Midwest,2017,244417,11798,24692,261,750,1306,9481,3190,19983,1280,239,27788,650,3931,1174,1806,2815,4590,233,626,33090,42,2766,26558,8729,349,5989,139,86333,0,319
Minnesota,Midwest,2017,143702,5769,26025,120,632,1176,3841,2298,22105,1521,101,14363,1465,2664,23,1995,3056,2208,359,1055,19281,16,569,19171,7535,2,8665,42,28570,0,869
Missouri,Midwest,2017,228042,9371,31387,342,551,1553,6925,3815,24973,2473,126,21141,1239,1950,290,2876,3868,3537,368,1242,39979,96,2548,18386,4061,306,7059,1096,76597,1,644
Nebraska,Midwest,2017,5708,161,523,1,12,5,143,53,424,44,2,617,18,67,3,35,95,65,1,28,843,0,76,785,416,178,282,0,1499,0,16
North Dakota,Midwest,2017,39944,855,3787,6,61,69,719,352,3128,291,16,2943,156,421,53,311,479,313,38,120,5646,1,654,6318,3086,384,2492,7,11772,1,107
Ohio,Midwest,2017,224423,8084,33068,224,406,1987,5467,4115,27904,764,285,31736,918,2179,21,2800,3454,3681,1122,516,37022,4,1714,15032,5196,4327,12296,208,60497,6,542
South Dakota,Midwest,2017,63625,1748,3283,16,79,88,1565,445,2512,311,15,4931,102,731,37,225,624,334,33,92,8900,1,2361,8164,4999,6939,3596,565,15720,69,171
Wisconsin,Midwest,2017,252142,8023,29429,203,900,1447,5473,2652,25214,1368,195,17314,920,2669,325,1474,6206,3449,451,1928,30781,37,2493,23541,12228,0,32743,809,75555,0,1767
Connecticut,Northeast,2017,100211,3844,14074,85,190,1082,2487,1998,11076,926,74,18621,649,912,144,693,2188,1242,183,368,9174,7,1500,8228,159,5,10579,24,27614,0,3
Delaware,Northeast,2017,31549,1989,6156,42,69,476,1402,950,5038,136,32,6225,283,1837,221,401,749,338,81,122,4015,20,176,347,635,377,1339,226,5979,0,33
Maine,Northeast,2017,40675,780,5578,14,70,128,568,607,4683,225,63,4889,199,518,41,93,1067,130,119,182,3409,3,122,5835,2181,20,1257,0,14227,8,17
Maryland,Northeast,2017,165877,9692,21726,286,352,3299,5755,4323,15337,1756,310,18261,423,893,77,73,2332,3215,748,578,28992,117,860,14385,3755,29,4202,82,55260,112,65
Massachusetts,Northeast,2017,118676,9257,13671,62,296,1211,7688,2141,10837,608,85,19372,455,1271,122,1202,2534,1328,530,425,9791,6,1406,8665,1565,5187,4359,8,37518,2,2
New Hampshire,Northeast,2017,47516,896,3642,8,52,168,668,319,3143,152,28,5306,292,787,120,503,1247,139,79,99,7656,12,202,4805,2489,4210,1001,82,13938,0,11
New Jersey,Northeast,2017,281631,8577,24807,149,333,2472,5623,3910,20274,494,129,20175,1020,3478,269,2511,3297,3838,900,916,61989,158,8915,21574,2876,0,11629,299,103811,0,592
New York,Northeast,2017,259257,12440,43759,264,970,3090,8116,5200,36562,1713,284,27397,2616,4086,48,3183,13559,3468,672,1662,69904,102,550,27136,1450,0,4867,618,41740,0,0
Pennsylvania,Northeast,2017,372570,20385,50437,464,1171,4891,13859,6123,41549,2409,356,42271,2414,7703,478,2392,7196,5056,1755,2211,63306,53,2034,45128,9446,20941,35630,298,46713,0,6723
Rhode Island,Northeast,2017,22707,864,2458,10,77,150,627,533,1773,126,26,3638,74,425,102,287,932,379,71,76,1792,9,62,1788,394,0,1979,1,7365,0,11
Vermont,Northeast,2017,13969,664,1683,10,62,31,561,268,1370,29,16,1341,56,238,43,103,380,28,4,41,1137,0,174,2450,112,0,823,0,4692,0,0
Alabama,Southeast,2017,153285,6005,18366,317,344,1140,4204,3223,14030,994,119,16455,1189,3258,161,2484,1413,1963,2,550,11267,0,822,7194,2064,6165,2018,56,71853,0,0
Arkansas,Southeast,2017,123971,4715,12355,138,238,563,3776,2026,9686,603,40,11347,830,893,54,1766,1510,1106,172,92,17515,13,293,5988,1475,6247,2469,315,54506,0,310
Florida,Southeast,2017,713085,36251,91063,635,1873,6398,27345,16483,66033,8306,241,78943,2040,11613,1057,1841,6371,6306,2468,3001,124487,71,4,32727,11739,37,33,0,303028,0,5
Georgia,Southeast,2017,230640,10843,31080,380,284,1697,8482,4035,25397,1499,149,20268,2241,3028,292,2881,3633,3317,379,2434,40608,58,2805,17436,3458,1457,13334,1285,69459,13,331
Kentucky,Southeast,2017,219872,3398,17117,185,212,987,2014,2891,13271,894,61,12015,1102,1370,390,2992,1167,967,166,292,26397,3,5216,15143,72,13722,3949,70,114322,0,2
Louisiana,Southeast,2017,166867,9494,29489,359,391,1195,7549,5260,22413,1692,124,18935,762,1519,146,2100,2785,3234,412,841,25770,41,1856,6117,2869,2965,7332,243,49696,15,246
